Pb7U5,err%,Pb6U8,err%,rho
0.23345,2.90271,0.02868,1.87357,0.64546
0.24085,1.90112,0.0328,1.03777,0.54587
0.23513,1.79809,0.0332,1.33063,0.74002
0.23604,2.02768,0.03328,1.22333,0.60332
0.23945,1.86564,0.03343,1.21981,0.65383
0.24501,1.38107,0.03343,0.92112,0.66696
0.23461,1.7237,0.03347,1.08425,0.62902
0.24886,2.12835,0.03361,1.23728,0.58134
0.2406,1.47729,0.03369,1.05773,0.71599
0.23742,1.93248,0.0337,1.12798,0.5837
0.23399,1.32687,0.03374,0.9864,0.74339
0.23597,2.02308,0.03375,1.41698,0.70041
0.24217,1.82645,0.03375,1.01224,0.55421
0.24494,1.87329,0.03376,1.2333,0.65836
0.23464,2.10769,0.03383,1.29782,0.61576
0.24818,1.52927,0.03385,1.22291,0.79967
0.23211,2.36657,0.03388,1.11419,0.4708
0.2371,1.69426,0.03391,1.11321,0.65705
0.23075,2.31882,0.03393,1.23344,0.53193
0.24132,2.37386,0.03396,1.79664,0.75685
0.24231,1.85841,0.034,1.35775,0.7306
0.24105,1.85099,0.03407,1.3167,0.71135
0.23892,1.3535,0.03408,1.07468,0.794
0.2375,1.80116,0.03411,1.55889,0.86549
0.23893,1.6831,0.03411,1.13469,0.67416
0.23847,2.1139,0.03412,1.34472,0.63613
0.2396,1.91355,0.03413,1.25012,0.6533
0.24316,1.97389,0.03414,1.24505,0.63076
0.24138,1.52246,0.03414,1.1252,0.73907
0.24128,1.25308,0.03417,0.871,0.69508
0.24164,1.56493,0.03418,1.27551,0.81506
0.24044,1.74069,0.03419,1.23941,0.71202
0.24466,1.51928,0.03419,0.99029,0.65181
0.24479,3.24732,0.03419,1.91222,0.58886
0.2398,1.64613,0.03422,1.16529,0.7079
0.23812,1.76131,0.03423,1.12606,0.63933
0.24096,1.73861,0.03426,1.19346,0.68645
0.23946,2.44462,0.03427,1.06785,0.43682
0.2479,1.51574,0.03431,1.13364,0.74791
0.2434,2.50822,0.03433,1.9309,0.76983
0.24437,1.2843,0.03435,0.87112,0.67827
0.24286,1.91053,0.03436,1.26012,0.65957
0.24035,1.66285,0.03436,1.06971,0.6433
0.26534,1.87656,0.03436,1.15655,0.61631
0.23865,1.80451,0.03437,1.26462,0.70081
0.23883,1.3646,0.03438,1.13186,0.82945
0.24222,1.57082,0.03439,1.24406,0.79198
0.2436,1.55619,0.0344,1.15774,0.74396
0.24591,1.61233,0.0344,1.24535,0.7724
0.24,1.79851,0.03442,1.2102,0.67289
0.23742,1.16404,0.03442,0.94265,0.80982
0.22427,2.80646,0.03446,1.53066,0.54541
0.26191,2.20562,0.03446,1.06578,0.48321
0.23683,1.85293,0.03446,0.96277,0.5196
0.23932,1.59429,0.03447,1.27393,0.79906
0.24259,2.11338,0.03448,1.70197,0.80533
0.24101,1.45885,0.03452,1.19196,0.81706
0.24256,2.17571,0.03452,1.61618,0.74283
0.24032,1.80487,0.03452,1.28162,0.71009
0.23931,1.38566,0.03455,1.15174,0.83119
0.24626,1.76107,0.03458,1.3347,0.75789
0.24492,1.28436,0.0346,0.83659,0.65137
0.24452,1.66749,0.03461,1.28312,0.7695
0.24035,2.52169,0.03461,1.02443,0.40625
0.27566,2.77111,0.03461,0.89841,0.3242
0.24783,1.74618,0.03462,1.09005,0.62425
0.24298,1.38881,0.03464,0.99682,0.71775
0.24879,1.61353,0.03468,1.19477,0.74047
0.24644,2.24711,0.03468,1.89223,0.84207
0.25105,1.43971,0.03469,0.87287,0.60629
0.24431,1.63639,0.03469,1.30465,0.79728
0.2438,1.34752,0.0347,0.96349,0.715
0.24509,1.42193,0.0347,1.09235,0.76822
0.2498,2.48341,0.0347,1.32219,0.53241
0.24175,1.49726,0.03471,1.2402,0.82832
0.24697,1.41075,0.03473,0.96723,0.68563
0.24238,1.48147,0.03474,1.05312,0.71086
0.25324,1.74118,0.03474,1.10074,0.63218
0.24725,1.83668,0.03476,1.32857,0.72335
0.23787,1.41373,0.03477,0.95884,0.67824
0.24432,1.38106,0.03482,0.90333,0.65408
0.2548,1.74224,0.03483,1.15276,0.66166
0.24585,1.36334,0.03486,0.97355,0.71409
0.24427,2.20077,0.03487,1.89654,0.86176
0.24369,2.1046,0.03488,1.62039,0.76993
0.24827,1.56764,0.0349,0.80433,0.51309
0.24609,1.31223,0.03491,0.78473,0.59801
0.25846,3.53857,0.03491,1.52449,0.43082
0.25378,1.59337,0.03494,1.20961,0.75915
0.24326,3.01431,0.03495,1.33902,0.44422
0.24736,1.62971,0.03496,1.06739,0.65496
0.24848,1.48867,0.03498,1.2542,0.8425
0.2494,1.78844,0.03498,1.11705,0.6246
0.24581,1.9212,0.03498,1.25049,0.65089
0.24764,1.21956,0.03499,0.97374,0.79843
0.24583,1.16039,0.03499,0.90906,0.78341
0.2476,1.33296,0.03499,1.00314,0.75257
0.24927,1.59477,0.035,1.13042,0.70883
0.24969,1.88947,0.03501,1.07323,0.568
0.24348,1.95962,0.03502,1.50632,0.76868
0.24932,1.44383,0.03504,1.00171,0.69379
0.24957,2.13963,0.03505,1.30986,0.61219
0.24322,2.2589,0.03505,1.26433,0.55971
0.25309,1.54629,0.03507,0.92951,0.60112
0.24139,1.41913,0.03507,1.21343,0.85506
0.24348,1.90935,0.03507,1.3696,0.71731
0.23839,2.64604,0.03508,1.2124,0.45819
0.24848,1.91608,0.03508,1.58776,0.82865
0.25213,1.50146,0.0351,1.1609,0.77318
0.24596,2.10692,0.0351,1.79618,0.85251
0.24669,1.5096,0.03511,1.14098,0.75582
0.25609,1.89266,0.03512,1.14631,0.60566
0.24459,2.18009,0.03514,1.13655,0.52133
0.2464,1.45162,0.03514,1.08136,0.74494
0.24671,1.75272,0.03515,1.2514,0.71397
0.24141,1.45386,0.03518,0.96964,0.66695
0.24644,1.7702,0.03518,1.35258,0.76408
0.2467,1.36555,0.03519,1.14417,0.83788
0.25264,1.35756,0.0352,1.05968,0.78058
0.24907,1.61184,0.0352,1.06333,0.6597
0.25276,1.66286,0.03523,1.2477,0.75033
0.24684,1.46264,0.03524,0.79532,0.54376
0.24608,1.59012,0.03524,1.17334,0.7379
0.24155,3.04544,0.03526,1.4329,0.47051
0.24589,1.6235,0.03527,1.18568,0.73032
0.25241,1.60489,0.03528,1.37612,0.85746
0.24725,1.21046,0.0353,0.90513,0.74775
0.24992,1.55273,0.03532,1.19022,0.76654
0.31618,3.74632,0.03532,1.17951,0.31485
0.22375,5.22878,0.03533,1.39252,0.26632
0.25186,1.48475,0.03534,0.99884,0.67272
0.24681,1.95438,0.03538,1.19259,0.61021
0.24313,1.97874,0.03538,1.36495,0.68981
0.24646,1.94074,0.03538,1.4107,0.72689
0.24549,1.58308,0.03538,1.21238,0.76584
0.25173,2.58304,0.03538,1.11763,0.43268
0.24624,6.2727,0.0354,5.66071,0.90244
0.25002,1.37215,0.0354,1.07176,0.78108
0.25946,2.29729,0.03542,1.17369,0.5109
0.25388,2.33603,0.03546,1.58698,0.67935
0.25036,1.89603,0.03553,1.04733,0.55238
0.25034,2.02367,0.03554,1.21643,0.6011
0.24778,2.97628,0.03557,1.70158,0.57171
0.25162,1.56413,0.03558,1.07896,0.68981
0.24794,1.79351,0.03562,1.15187,0.64224
0.24632,1.77252,0.03564,0.96072,0.54201
0.25859,2.05254,0.03566,1.33343,0.64965
0.24561,1.92238,0.03569,1.09596,0.57011
0.25678,1.31059,0.0357,0.78745,0.60083
0.25294,1.53632,0.03573,1.02125,0.66474
0.24826,2.02123,0.03574,1.51925,0.75165
0.25283,2.58208,0.03582,1.40972,0.54596
0.25418,1.3638,0.03584,1.01326,0.74296
0.23716,2.28597,0.03592,1.36564,0.5974
0.25289,2.38296,0.03594,1.57385,0.66046
0.25483,1.83964,0.03599,1.01636,0.55248
0.25754,2.09238,0.036,1.31444,0.6282
0.2554,1.32656,0.03612,1.05308,0.79385
0.26556,1.45512,0.03612,0.95047,0.6532
0.26293,1.80654,0.03616,1.03226,0.5714
0.26198,3.09302,0.03619,1.91747,0.61994
0.25095,1.48574,0.0362,1.13878,0.76648
0.31533,4.42121,0.03627,1.07347,0.2428
0.25531,2.63666,0.03655,1.71334,0.64981
0.26031,1.46918,0.03675,1.05104,0.71539
0.26201,1.55733,0.0368,1.18376,0.76012
0.25171,2.39477,0.03747,1.62089,0.67685
0.29018,1.54521,0.03776,0.72778,0.47098
0.2709,1.87618,0.03789,1.16,0.61828
0.27419,1.62472,0.03801,1.22024,0.75105
0.27357,1.38381,0.03847,1.07823,0.77918
0.28614,1.46503,0.03927,1.12389,0.76714
0.29417,1.34812,0.04147,1.0816,0.8023
0.30918,1.51785,0.04275,1.15488,0.76086
0.35303,1.77682,0.04345,1.23752,0.69648
0.32366,1.71653,0.04384,1.41633,0.82511
0.32887,1.26462,0.04539,0.93604,0.74017
0.35862,1.2577,0.04922,0.94685,0.75285
0.38772,2.7931,0.04944,1.19802,0.42892
0.42581,1.48826,0.0572,1.06586,0.71618
0.4626,1.77016,0.06048,1.3105,0.74032
0.45929,1.28918,0.06146,1.05394,0.81753
0.49424,1.41285,0.0633,1.09529,0.77523
0.49261,1.57263,0.06509,1.09018,0.69322
0.52821,1.90663,0.06827,1.47589,0.77408
0.54513,1.25804,0.07034,0.97434,0.77449
0.56845,1.42102,0.07221,1.20017,0.84458
0.69451,1.29714,0.0855,1.03217,0.79573
0.71296,1.85327,0.0872,1.32552,0.71523
0.77358,2.71905,0.09123,1.49256,0.54893
0.7734,1.53754,0.09242,1.15078,0.74846
0.75966,1.41929,0.09261,1.09764,0.77336
0.81024,1.58066,0.09593,1.22655,0.77598
0.80936,1.51626,0.09804,1.30896,0.86329
0.82431,1.37896,0.09929,0.99461,0.72128
0.84471,1.16059,0.10017,0.93336,0.80422
0.8469,1.35048,0.1015,0.95999,0.71085
0.89788,1.43064,0.10538,0.92274,0.64498
0.98997,1.73895,0.11006,1.15013,0.66139
1.47963,0.97031,0.15435,0.76832,0.79183
1.48181,1.51023,0.14926,1.17619,0.77882
1.65942,1.36242,0.16666,1.15454,0.84742
1.68817,1.64823,0.16584,1.35632,0.8229
1.99,1.47375,0.19539,0.94841,0.64352
1.89114,1.44122,0.18539,1.1888,0.82486
1.81796,1.22557,0.17719,0.94977,0.77494
1.80244,1.45455,0.1752,1.01282,0.69631
1.85194,1.46198,0.17879,1.20467,0.824
1.85967,1.50233,0.17921,1.11652,0.74319
1.81786,1.60455,0.17509,1.23693,0.77089
1.87531,1.29905,0.17993,0.94081,0.72421
1.9849,1.35158,0.18945,1.09984,0.81374
1.83535,1.31855,0.17517,1.05258,0.79828
2.17568,1.59187,0.20226,1.28783,0.809
2.09454,1.49167,0.1947,1.27047,0.85171
1.72276,2.58239,0.15873,1.24603,0.48251
2.31698,2.08904,0.21014,1.90346,0.91116
2.16504,1.27716,0.19442,1.05446,0.82563
2.36743,1.03034,0.21141,0.82011,0.79598
2.26119,1.39395,0.20153,1.20755,0.86628
2.36085,1.49761,0.21022,1.21955,0.81433
2.31507,1.248,0.20456,1.01476,0.81311
2.50186,1.50178,0.21623,1.16886,0.77832
2.64901,1.45329,0.2274,1.18605,0.81611
2.60506,1.59199,0.22254,1.29873,0.81579
2.65455,1.46122,0.22607,1.06308,0.72753
2.51558,1.43217,0.21402,1.04143,0.72717
2.80586,1.31385,0.23392,1.14556,0.87191
2.44171,1.59496,0.2035,1.34374,0.8425
2.83915,1.26067,0.23295,0.9448,0.74945
3.01963,1.08762,0.24642,0.88134,0.81036
3.03544,1.57177,0.24752,1.40535,0.89412
3.04222,1.41666,0.24794,1.18748,0.83822
3.05839,2.59824,0.24885,2.09419,0.80601
3.01122,1.14302,0.24446,0.94469,0.82649
3.12816,1.18252,0.25362,0.9983,0.84422
3.01534,1.0808,0.24442,0.94841,0.87751
2.95394,1.27788,0.23927,0.99925,0.78195
3.07211,1.35988,0.24879,1.16452,0.85634
3.05559,1.50393,0.24725,1.29147,0.85873
2.95089,1.47987,0.2384,1.09631,0.74081
3.19995,1.2223,0.25818,1.00541,0.82256
3.08763,1.33381,0.24896,1.17176,0.87851
3.02052,1.32297,0.24341,1.16662,0.88182
3.12688,1.40215,0.2519,1.24261,0.88622
3.10583,1.69902,0.2502,1.26833,0.74651
3.11618,1.44235,0.25102,1.24141,0.86068
3.12027,1.58527,0.25126,1.4099,0.88937
3.04564,1.2697,0.24498,0.95363,0.75105
3.05659,1.73605,0.24557,1.52177,0.87657
3.08729,1.34211,0.24786,1.16439,0.86758
3.02427,1.77226,0.24258,1.36173,0.76836
3.01748,1.30419,0.24194,0.97838,0.75018
3.1198,1.15318,0.25009,0.94714,0.82134
3.25199,1.09255,0.26067,0.91645,0.83883
3.0995,1.31755,0.24837,1.14771,0.8711
3.06005,1.61529,0.24483,1.38853,0.85961
3.00845,1.28474,0.2405,1.08386,0.84364
3.12013,1.4871,0.24923,1.14138,0.76752
3.07781,1.30297,0.2458,1.09116,0.83744
3.11846,1.11522,0.24895,0.90347,0.81013
3.01657,1.63746,0.24077,1.45633,0.88939
3.02754,1.82571,0.24161,1.68113,0.92081
3.07998,1.39857,0.24567,1.18457,0.84699
2.98223,1.18519,0.23785,0.93963,0.79279
3.10465,1.2202,0.2473,0.99005,0.81138
3.07,1.35205,0.24422,1.15315,0.85289
3.19316,1.15925,0.25399,0.87023,0.75069
3.14408,1.25645,0.25002,1.00127,0.7969
3.08614,1.5106,0.2454,1.38869,0.9193
3.15358,1.33188,0.25014,1.0829,0.81306
3.02055,1.53868,0.23941,1.33909,0.87028
3.27912,1.10621,0.25985,0.91899,0.83075
3.09826,1.44728,0.24526,1.25854,0.86959
3.27584,1.22067,0.25892,0.83798,0.68651
3.06633,1.20329,0.24228,0.95613,0.7946
3.18517,1.25789,0.25148,0.89582,0.71215
3.1857,1.37,0.25133,0.9482,0.69211
3.13135,1.34043,0.24655,1.08388,0.80861
3.1589,1.14626,0.24822,0.99968,0.87212
3.24402,1.3927,0.25356,1.17877,0.84639
3.26052,1.47497,0.2542,1.05415,0.71469
3.34397,1.07061,0.25866,0.78613,0.73426
3.2317,1.43284,0.24993,1.21088,0.84509
3.38946,1.07948,0.26211,0.78822,0.73017
3.52078,1.58618,0.26291,1.14877,0.72424
4.04593,1.30273,0.29548,1.08536,0.83314
4.1507,1.18709,0.30226,1.04051,0.87652
3.88409,1.33892,0.28202,1.17141,0.87489
4.04298,1.2505,0.2905,1.00638,0.80478
3.98083,1.38108,0.28476,1.13089,0.81884
4.24284,1.38436,0.29763,1.09025,0.78755
4.28621,1.37105,0.29985,1.00868,0.7357
4.20082,1.63689,0.29043,1.40998,0.86138
4.55411,1.63278,0.30945,1.40693,0.86168
4.16229,1.26038,0.2818,0.99517,0.78959
4.55059,1.56101,0.3059,1.34453,0.86132
5.56649,1.20408,0.33538,0.97808,0.8123
5.95443,1.07643,0.35564,0.93173,0.86557
5.72488,1.24216,0.33749,0.99861,0.80393
7.20976,1.30916,0.39369,0.9874,0.75423
14.07864,1.49449,0.51336,1.31654,0.88093
16.22932,1.34726,0.59003,1.15554,0.8577
