Time,Si29,Zr91,La139,Hf178,Pb206,Pb207,Pb208,Th232,U235,U238
0.482,73943.92,0,0,0,40,0,16.67,0,0,0
0.954,75349.43,0,0,0,0,8.33,33.33,0,10,0
1.426,86597.32,0,0,0,40,0,16.67,0,10,0
1.898,80169.14,0,0,0,40,0,0,0,0,0
2.371,73743.13,0,0,0,0,8.33,8.33,50,10,0
2.843,77156.68,200,0,0,0,8.33,16.67,0,0,0
3.315,76152.63,0,0,0,0,0,25,50,10,50
3.787,74747.05,200,0,0,20,0,0,0,10,0
4.259,77156.68,0,0,0,0,0,16.67,0,10,0
4.731,78160.77,0,0,0,40,0,41.67,0,0,0
5.203,77959.95,0,0,0,0,0,8.33,0,0,0
5.674,81173.39,0,0,0,0,0,0,0,20,0
6.147,76554.24,0,0,0,20,0,16.67,0,20,0
6.619,72337.73,0,0,0,0,0,16.67,0,10,0
7.091,70731.68,0,0,0,0,0,8.33,0,20,0
7.563,65713.67,0,0,0,0,16.67,16.67,0,10,0
8.035,79968.29,0,0,0,0,0,25,0,0,0
8.507,73341.58,0,0,0,20,0,0,0,20,0
8.979,75951.82,0,0,0,40,0,41.67,0,0,100
9.45,78160.77,200,0,0,0,0,16.67,0,10,50
9.923,85190.96,0,0,0,0,8.33,41.67,0,10,50
10.395,75951.82,0,0,0,20,25,16.67,50,0,50
10.867,75349.43,0,0,0,0,0,41.67,0,10,0
11.339,79566.62,0,0,0,40,0,33.33,0,0,0
11.811,75751.03,0,0,0,0,8.33,16.67,0,10,0
12.283,76152.63,0,0,0,0,0,16.67,0,0,0
12.755,84990.06,0,0,0,0,0,25,0,20,0
13.226,81575.11,0,0,0,0,8.33,33.33,0,0,0
13.699,67319.29,0,0,0,0,0,25,0,20,0
14.171,77959.95,0,0,0,120,8.33,16.67,50,30,0
14.643,75951.82,0,0,0,0,41.67,0,0,0,0
15.115,76353.43,0,0,0,0,16.67,25,0,0,0
15.587,76755.04,0,0,0,40,0,25,0,10,0
16.059,83382.95,0,0,0,0,0,8.33,0,20,0
16.531,81575.11,0,0,0,0,0,16.67,0,0,0
17.004,83182.08,0,0,0,40,33.33,16.67,0,10,0
17.476,71534.69,0,0,0,0,16.67,41.67,0,20,50
17.948,82981.18,0,0,0,0,0,66.67,0,0,0
18.42,77156.68,0,0,0,20,0,25,0,20,0
18.892,80369.98,0,0,0,20,0,0,0,0,0
19.364,84789.17,0,0,0,40,16.67,16.67,0,0,0
19.836,80570.84,0,0,0,0,0,25,0,30,50
20.308,74546.27,0,0,0,0,0,0,0,0,0
20.78,78160.77,0,0,200,0,0,33.33,0,20,0
21.252,79365.77,0,0,0,20,0,41.67,0,0,0
21.724,81575.11,0,0,0,0,108.33,13130.26,45179.12175,1607.99702144,223452.43691484
22.196,1534432.26,51932066.79,600.01,2554912.95,37502.79,4283.89,6584.66,64477.94605,1881.06971948,292495.42474108
22.668,2988269.6,76072214.2,0,3374098.51,41893.38,3867.12,5509.26,72784.9801,2437.33790824,331512.22739316
23.14,2451590.68,68463526.53,400,4109375.87,42555.08,3642.07,4517.29,80688.2167,2558.7102936,334815.13992064
23.612,3037704.17,86055664.42,0,4556220.02,41953.53,2583.54,4892.4,81351.235,2224.9412902,342507.24883584
24.084,3277527.42,78927183.01,0,4383445.41,41632.72,3342.01,5050.78,92881.96995,2315.96552288,329087.05503896
24.556,2715249.87,88366383.23,0,4622062.99,42434.77,3508.71,4625.65,91810.1807,2305.85284288,302382.54141368
25.028,2323224.66,81610364.32,0,4781696.59,40429.72,3408.69,4325.57,90534.346,2437.33790824,327436.06901484
25.5,2754554.16,90287495.77,0,5293398.95,46746.45,3517.04,4775.7,92881.96995,2447.45058824,332905.51199284
25.972,2704697.52,102284683.5,0,5756236.85,42314.46,3625.4,4692.34,96199.8324,2629.50916628,321968.45643192
26.444,2648310.8,96699920.91,0,5946974.74,42053.79,3525.38,4809.04,98752.4762,2457.56326824,298828.61194324
26.916,2407469.59,102152952.3,0,5798343.88,48290.91,3458.7,4967.42,104420.8046,1982.20663216,308771.1663276
27.388,2525134.24,92153152.06,0,5963206.38,41933.48,3442.03,4533.96,104522.94405,2396.87707556,291362.88548252
27.86,2297203.96,88783651.98,200,5497686.06,44740.88,3567.05,4667.33,88646.2836,2012.54467216,300940.28110476
28.332,2475699.66,96438639.66,400,5635043.09,43096.49,3392.02,4383.92,94106.95315,2214.8286102,299343.70129904
28.804,2609801.03,95856527.14,0,4959836.44,40810.66,3233.65,5042.44,96812.4255,1800.1581668,258142.95416148
29.276,2466363.92,89042864.49,0,5038311.83,43517.6,3133.63,4950.75,95995.62455,2366.53903556,310214.12441144
29.748,2563420.57,87645826.96,0,5474663.01,40930.96,2950.27,4842.38,90381.2434,1840.6088868,283849.08334108
30.22,2363596.73,82555626.85,0,5177842.3,40870.81,3208.65,4525.62,81300.23125,1881.06971948,286782.13471024
30.692,2465494.98,88149001.97,0,5107075.11,45703.52,3125.3,4558.97,77526.4714,2002.43199216,272739.06050144
31.164,2477288.73,84230176.88,0,5076547.77,41672.82,3342.01,4709.01,92984.0485,2042.89282484,291414.38936176
31.637,2587554.35,95604445.89,0,5320904.42,42154.05,3191.98,4842.38,89513.7432,1729.35929412,263178.12832224
32.109,2420703.37,87197495.7,0,5750328.25,40930.96,3216.98,4717.35,87523.7545,1982.20663216,262664.2727134
32.581,2319872.9,82719501.85,0,4639211.43,42334.51,2908.59,4842.38,85687.06125,2245.1666502,260865.87415292
33.053,2417624.66,81404745.57,0,4729504.01,41111.41,3108.63,4650.66,80586.2092,1759.69733412,277778.7853682
33.525,2795670.96,89285195.75,0,4914944.64,42314.46,2958.6,4508.95,83391.4865,2275.51480288,269242.99578596
33.997,2432621.34,80778564.31,0,4567935.26,39507.48,2850.25,5259.18,88442.1874,1992.31931216,263948.97746792
34.469,2372460.6,81773858.08,0,5391501.68,39908.44,3108.63,5050.78,86707.42045,1790.0454868,266518.670132
34.941,2307508.06,75619095.44,0,4719045.03,38384.82,2966.94,4425.6,83340.4726,1749.58465412,253212.01139348
35.413,2437959.62,77142557.97,0,4775346.59,40810.66,3250.32,4542.3,83085.4437,2164.25509752,262099.04469016
35.885,2387333.26,76710164.21,0,4675987.21,42093.9,2908.59,4083.84,79311.2474,1385.49783608,239864.7805828
36.357,2293007.86,76025682.95,0,4722780.57,40870.81,3233.65,4425.6,81300.23125,1749.58465412,243765.11990664
36.829,2295267.24,69150307.8,0,4994336.83,38003.93,2600.21,3933.81,80433.21825,1850.7215668,236940.12273804
37.301,2163375.63,79276789.27,0,4441138.77,37001.65,3116.96,4092.18,81504.2564,1779.9328068,241045.09214168
37.773,2316247.9,73325657.89,0,4609125.49,38585.29,2916.93,4750.69,84819.8148,1850.7215668,252236.23890028
38.245,2334944,76030207.95,0,4393904,40189.13,3066.95,3958.81,78801.2911,1597.88434144,232374.60166184
38.717,2426860.99,74686532.92,0,4117899.31,36680.93,2616.88,4450.6,79311.2474,1759.69733412,248693.22101156
39.189,2282728.57,71447832.85,0,4502873.15,38444.96,3216.98,4442.27,78648.30015,1830.4962068,243559.8021646
39.661,2237862.75,71660132.85,0,4432411.82,39407.24,2991.94,4150.53,70949.9413,1992.31931216,230323.10294632
40.133,2429641.85,72756307.88,0,4682405.18,39487.43,3025.28,3858.79,75384.9838,1790.0454868,238479.3434228
40.605,2092215.67,69303557.8,0,4507117.68,36219.91,3383.68,4025.49,79209.2602,1607.99702144,231041.113339
41.077,2306018.22,74525989.17,0,4308161.82,38545.2,2816.91,4183.87,79362.241,1597.88434144,236632.32309688
41.549,2396172.32,73974845.4,0,4645629.4,36761.11,2783.57,4283.89,76863.60535,1547.31082876,245818.34789044
42.021,2283349.47,73578326.64,0,4531974.32,38725.62,2591.87,4158.86,72988.8936,1607.99702144,236940.12273804
42.493,2248688.14,70798820.33,0,4485384.87,39888.4,2975.27,4633.99,75435.96725,1668.67310144,230630.78123532
42.965,2218744.39,68729357.79,0,4094638.37,35097.48,3125.3,4417.26,74977.1162,1951.86859216,226989.94339296
43.437,2203747.51,73047739.13,0,4375940.72,39387.19,2716.89,3992.15,72122.29675,1860.84435948,234939.33911272
43.909,2115778.37,67492632.76,0,4409354.79,35538.42,2858.58,4092.18,75486.94055,1476.52206876,202960.14261356
44.381,2271679.74,66794607.74,0,4080342.28,34937.14,2450.18,4083.84,76659.6411,1881.06971948,214535.10602888
44.853,2065152.19,64846082.7,0,4334241.11,34937.14,2775.23,4167.2,73906.4942,1779.9328068,229912.80118068
45.325,2161116.26,66931689,0,4271895.41,36941.52,2541.86,4608.98,70134.4294,1597.88434144,216174.715288
45.797,2158906.49,69057657.79,0,4142009.08,37883.66,2850.25,3592.06,70287.33915,1405.72319608,215354.91065844
46.269,2067510.79,62916851.41,0,4098339.94,35037.35,2566.87,4167.2,74161.41145,1557.42350876,216277.19718712
46.742,2251469,65729988.97,0,4127339.15,38444.96,2550.2,4200.54,71918.40355,1729.35929412,207927.17753648
47.214,2178670.36,69235282.8,0,4140990.33,36981.6,2625.21,3908.8,67942.95305,1587.77166144,216482.16098536
47.686,2104605.32,65049307.7,0,3867871.57,34295.79,2908.59,3875.46,71969.387,1547.31082876,213766.60302496
48.158,2300009.62,67241482.75,0,4112466.11,35558.46,2800.24,4283.89,74875.13915,1769.8201268,216994.59070632
48.63,2182270.56,67745039.01,0,4613234.09,36099.65,2941.93,3550.38,71816.45695,1345.04711608,207722.30475236
49.102,2013706.49,61290145.12,0,4000339.15,35638.64,2725.23,3775.43,66974.7141,1466.40938876,204957.03285708
49.569,1952204.93,65067957.7,0,3899282.12,37643.1,2633.54,4158.86,71459.64385,1476.52206876,208797.83883376
